"","Percentage_positive"
"DNAJB4",3.1
"AC103591.3",45
"IFI44L",8.6
"IFI44",3.1
"LINC01781",14.7
"ADGRL2",0.1
"LINC01361",0.8
"AC116099.1",0.2
"LINC01725",1.9
"AL035706.1",0.2
"TTLL7",0.4
"AL359504.2",0.4
"PRKACB",3
"RPF1",7.9
"GNG5",8.7
"SPATA1",0.5
"CTBS",4.9
"SSX2IP",1.1
"LPAR3",0.1
"MCOLN2",13.9
"SYDE2",0.1
"C1orf52",9.8
"BCL10",17.9
"AL078459.1",2.7
"ZNHIT6",3.5
"ODF2L",9
"AL049597.2",0.3
"SH3GLB1",12.8
"SELENOF",6.8
"HS2ST1",7.9
"LMO4",10.9
"PKN2",22.7
"GTF2B",9.8
"KYAT3",1.3
"RBMXL1",3.7
"GBP3",1.5
"GBP1",0.6
"GBP2",3.6
"GBP4",1.2
"GBP5",1.8
"LRRC8B",3.8
"LRRC8C-DT",2.3
"LRRC8C",0.7
"AC099568.2",0.3
"LRRC8D",1
"ZNF326",21.4
"LINC02609",0.3
"ZNF644",32.3
"CDC7",0.3
"TGFBR3",0.3
"BTBD8",0.2
"GLMN",3
"RPAP2",5.1
"GFI1",0.2
"EVI5",5.1
"RPL5",64.8
"DIPK1A",2.8
"AC093577.1",0
"MTF2",9.9
"TMED5",10
"CCDC18",3.4
"CCDC18-AS1",12.6
"DR1",5.1
"FNBP1L",4.8
"BCAR3",0.5
"AL109613.1",0.2
"AL049796.1",0.1
"DNTTIP2",21.3
"GCLM",1.1
"ABCD3",1.3
"F3",0.2
"CNN3",2.9
"AC105942.1",0.9
"ALG14",0.6
"TLCD4",0.4
"AC092802.1",0.2
"RWDD3",3.8
"PTBP2",14
"DPYD",3
"DPYD-IT1",0.1
"FRRS1",0.8
"AGL",5.9
"AC118553.1",0.2
"SLC35A3",7.1
"MFSD14A",6.2
"SASS6",1.5
"TRMT13",2.9
"DBT",1.8
"RTCA-AS1",1.5
"RTCA",3
"CDC14A",5.3
"EXTL2",0.7
"AC104506.1",0.4
"SLC30A7",3.9
"DPH5",0.8
"AC093157.1",1.3
"AL109741.1",0.7
"S1PR1",6
"RNPC3",13
"AMY2B",0.6
"PRMT6",0.6
"NTNG1",0.6
"VAV3",5.9
"SLC25A24",4.7
"FAM102B",3.2
"HENMT1",0.5
"AL160171.1",0.2
"PRPF38B",33.7
"STXBP3",4.7
"AKNAD1",0.2
"GPSM2",1.7
"CLCC1",3.2
"WDR47",1.3
"TAF13",2.8
"AL356488.3",1
"TMEM167B",6.2
"AL356488.2",1.1
"KIAA1324",0.3
"SARS",3.9
"CELSR2",0.1
"SORT1",0.6
"PSMA5",4.6
"ATXN7L2",1.5
"CYB561D1",1.2
"GNAI3",11.7
"AL355310.1",0.2
"AMPD2",1.2
"GSTM4",1
"GSTM2",0.7
"GSTM3",0.3
"CSF1",4.7
"AHCYL1",3.3
"STRIP1",5.8
"AL160006.1",0.4
"KCNC4",2.3
"RBM15",6
"LAMTOR5-AS1",0.8
"SLC16A4",1.8
"LAMTOR5",13.8
"AL365361.1",1.3
"KCNA3",0.4
"CD53",14
"AL360270.2",0.6
"AL360270.1",1.6
"LRIF1",2.8
"AL360270.3",0.4
"DRAM2",7.7
"CEPT1",9
"DENND2D",1.7
"CHI3L2",2.2
"PIFO",0.8
"OVGP1",0.6
"AL390195.2",1.2
"WDR77",1.6
"ATP5PB",6.7
"C1orf162",5.8
"RAP1A",8.2
"INKA2",0.6
"AL049557.1",0.5
"DDX20",5.5
"CTTNBP2NL",2.1
"ST7L",2.5
"CAPZA1",22.6
"MOV10",1.3
"RHOC",2.7
"PPM1J",0.4
"SLC16A1",3.2
"SLC16A1-AS1",4.1
"LRIG2",3.3
"MAGI3",0.1
"PHTF1",3.1
"RSBN1",9.6
"AL137856.1",0.4
"PTPN22",5
"AP4B1-AS1",0.3
"BCL2L15",0.6
"AP4B1",2.7
"DCLRE1B",0.2
"HIPK1-AS1",0.8
"HIPK1",14.7
"TRIM33",13.8
"BCAS2",12.9
"DENND2C",0.5
"NRAS",10.3
