"","Percentage_positive"
"PHETA1",0.2
"SH2B3",5.2
"ATXN2",4.9
"ATXN2-AS",0.1
"BRAP",3.7
"ACAD10",1.4
"ALDH2",1.1
"MAPKAPK5-AS1",5.3
"MAPKAPK5",7.2
"TMEM116",1.4
"ERP29",21.4
"NAA25",7
"TRAFD1",1.1
"HECTD4",9.6
"RPL6",68.4
"PTPN11",8.1
"OAS1",2.4
"OAS3",2.5
"OAS2",1.1
"DTX1",11.8
"RASAL1",0.7
"CFAP73",0.5
"DDX54",6.6
"RITA1",0.7
"IQCD",0.4
"TPCN1",3.5
"AC089999.2",0
"SLC8B1",2.5
"PLBD2",0.5
"LINC01234",0.2
"RBM19",5.8
"TBX3",0
"MED13L",38.8
"AC130895.1",3.4
"LINC00173",0.9
"MAP1LC3B2",0.8
"C12orf49",3.4
"HRK",6.3
"FBXW8",1.9
"AC127164.1",0.8
"TESC",24.1
"TESC-AS1",0.3
"FBXO21",24.8
"NOS1",0
"RFC5",0.8
"WSB2",2.6
"VSIG10",0.3
"PEBP1",21
"TAOK3",13.6
"SUDS3",9
"AC026367.3",0.3
"AC026367.2",0.1
"PRKAB1",1.7
"CIT",0.5
"BICDL1",8
"RAB35",1.5
"AC004812.2",0.3
"GCN1",4.5
"RPLP0",55.9
"PXN-AS1",0.7
"PXN",0.6
"AC004263.2",0.1
"COX6A1",18.5
"TRIAP1",4
"GATC",3.5
"SRSF9",21.6
"DYNLL1",5.5
"COQ5",1
"RNF10",13
"POP5",3.2
"MLEC",4
"UNC119B",0.5
"ACADS",0.6
"SPPL3",7.1
"HNF1A-AS1",0.3
"C12orf43",2.7
"OASL",0.7
"P2RX7",0.7
"P2RX4",5.9
"CAMKK2",1.9
"ANAPC5",11.2
"RNF34",1.8
"KDM2B",7.4
"ORAI1",1.9
"MORN3",0.5
"TMEM120B",2.4
"RHOF",4.2
"LINC01089",5.5
"AC084018.2",1.2
"SETD1B",3.1
"PSMD9",4.2
"WDR66",0.8
"BCL7A",7.4
"MLXIP",6.9
"B3GNT4",0.2
"AC048338.2",0
"DIABLO",5.7
"VPS33A",2.3
"CLIP1",10.6
"ZCCHC8",8.7
"AC127002.2",0.2
"RSRC2",47.2
"KNTC1",3.2
"HCAR1",0.1
"DENR",10.1
"CCDC62",1
"HIP1R",8.1
"VPS37B",13.1
"AC027290.1",0.1
"ABCB9",0.4
"OGFOD2",0.5
"ARL6IP4",19
"PITPNM2",2.8
"PITPNM2-AS1",0.2
"MPHOSPH9",3.8
"C12orf65",2.5
"CDK2AP1",3.1
"SBNO1",12.6
"SBNO1-AS1",3.4
"KMT5A",5.4
"RILPL2",10.7
"SNRNP35",3.5
"RILPL1",0.6
"TMED2-DT",0.5
"TMED2",7.8
"DDX55",6.5
"EIF2B1",4.5
"GTF2H3",2.1
"TCTN2",0.6
"ATP6V0A2",5.1
"CCDC92",2.4
"DNAH10OS",0.1
"AC068790.5",0.2
"AC068790.6",0.6
"ZNF664",1.8
"NCOR2",10.1
"AC073592.1",0.1
"SCARB1",0.4
"UBC",69.9
"DHX37",6.8
"BRI3BP",2.4
"THRIL",0.1
"AACS",2.7
"TMEM132B",0
"AC005252.4",0
"AC007368.1",0.1
"LINC00944",0.4
"AC140121.1",0.1
"SLC15A4",6.8
"PIWIL1",0.1
"STX2",1.7
"RAN",24.8
"ADGRD1",0.1
"AC078925.1",0.1
"SFSWAP",14.8
"MMP17",0.6
"ULK1",9
"PUS1",1.5
"EP400",8.7
"DDX51",5.7
"NOC4L",1.8
"LINC02361",0.1
"GALNT9",0.1
"FBRSL1",11.1
"POLE",2.1
"PXMP2",0.7
"PGAM5",2.4
"ANKLE2",18.3
"GOLGA3",7.6
"CHFR",7.9
"AC127070.1",0.6
"AC127070.2",0.2
"ZNF605",1.3
"ZNF26",6.7
"ZNF84-DT",0.1
"ZNF84",5.1
"ZNF140",2.1
"ZNF891",5.5
"ZNF10",14.1
"ZNF268",3
"MPHOSPH8",15.8
"PSPC1",10.6
"ZMYM5",4.1
"AL355001.2",1.3
"ZMYM2",25.6
"CRYL1",0.5
"AL590096.1",0
"IFT88",4
"EEF1AKMT1",0.3
"XPO4",10.8
"LATS2",2.7
"LATS2-AS1",0.2
"SAP18",25.7
"MRPL57",5.5
"LINC00539",0.3
"ZDHHC20",10.8
"MICU2",6.5
"FGF9",3.1
"AL136962.1",0.3
"LINC00621",0.2
"SACS",3.1
"MIPEP",1.5
"SPATA13",1.5
"PARP4",5.6
"CENPJ",3.1
"PABPC3",0.1
"MTMR6",20.8
"NUP58",22.8
"ATP8A2",0.2
"SHISA2",0.6
"RNF6",4.9
"AL138966.2",0.6
"CDK8",2
"USP12",17.2
"LINC02340",0.1
"RPL21",71.7
"RASL11A",0.2
"GTF3A",13.7
"MTIF3",4.2
"LNX2",0.8
"POLR1D",14.3
"PAN3-AS1",0.6
"PAN3",23.2
"FLT1",0.5
"POMP",16.7
"SLC46A3",0.9
"SLC7A1",2.3
"UBL3",5.1
"KATNAL1",2.7
"LINC00426",4.2
"UBE2L5",0.1
"HMGB1",72.6
"USPL1",9.7
"ALOX5AP",7.9
"HSPH1",18.2
"B3GLCT",2.2
"FRY",1.3
"BRCA2",7.4
"N4BP2L1",7
"N4BP2L2",30.7
"N4BP2L2-IT2",1
"PDS5B",10.7
"AL627232.1",0.1
"RFC3",3.8
"AL161891.1",0.8
"NBEA",2.6
"SPART",0.4
"SPART-AS1",0
"RFXAP",0.5
"ALG5",2.9
"EXOSC8",4.7
"SUPT20H",7.2
"LINC02334",0.1
"LINC00571",0.3
"UFM1",18.1
"PROSER1",4.2
"NHLRC3",5.5
"AL354809.1",0.1
"COG6",1.1
"LINC00598",0.5
"FOXO1",21.9
"MRPS31",2.7
"SLC25A15",0.2
"AL590064.1",0.5
"ELF1",43.3
"WBP4",5.4
"KBTBD6",4.1
"AL354696.2",0.3
"KBTBD7",1.2
"MTRF1",1.8
"AL354696.1",0.1
"NAA16",9
"RGCC",51.9
"VWA8",2
"DGKH",0.6
"AKAP11",8.5
"TNFSF11",0
"EPSTI1",5.6
"DNAJC15",9.7
"CCDC122",1
"AL512506.1",0.3
"LACC1",0.6
"LINC00390",0
"SMIM2-AS1",0.1
"TSC22D1",7.4
"TSC22D1-AS1",0.9
"NUFIP1",5.3
"GPALPP1",3.2
"GTF2F2",5.1
"TPT1",71.4
"AL138963.4",0.3
"TPT1-AS1",5.2
"AL138963.1",0.1
"SLC25A30",1.3
"SLC25A30-AS1",0.2
"COG3",9
"ZC3H13",5.4
"CPB2-AS1",0.4
"LCP1",25.8
"RUBCNL",15.1
"LRCH1",6.4
"AL359880.1",0.1
"ESD",4.7
"SUCLA2",3.7
"LINC00562",0.4
"NUDT15",3.6
"MED4",7.1
"ITM2B",25
"RB1-DT",0.9
"RB1",22.7
"RCBTB2",0.3
"CYSLTR2",0.3
"AL161421.1",1.7
"FNDC3A",10.1
"CDADC1",1.9
"CAB39L",0.7
"SETDB2",5.6
"PHF11",7.9
"RCBTB1",1.8
"ARL11",0.6
"EBPL",1.1
"KPNA3",7.9
"AL136301.1",0.1
"SPRYD7",0.8
"DLEU2",9.8
"TRIM13",7.5
"KCNRG",0.3
"DLEU1",2.4
"AL137060.3",1.7
"RNASEH2B",17.8
"INTS6",17.9
"INTS6-AS1",1.8
"WDFY2",8.9
"DHRS12",1.8
"AL162377.1",1.8
"ALG11",3
"NEK3",2.6
"THSD1",0.3
"VPS36",9.6
"AL359513.1",0.9
"CKAP2",7.6
"HNRNPA1L2",0.8
"AL139089.1",0.7
"SUGT1",7.9
"DIAPH3",0.5
"TDRD3",4.2
"LINC00378",0.2
"LINC01442",0.1
"PCDH9",11.9
"DACH1",0
"MZT1",3.4
"BORA",0.5
"DIS3",10.3
"PIBF1",6.2
"KLF5",0.6
"KLF12",9.1
"AL353660.1",0.5
"TBC1D4",0.4
"COMMD6",31.5
"UCHL3",1.9
"LMO7-AS1",0
"LMO7",4.9
"AL365394.1",0.1
"KCTD12",1.1
"CLN5",7.4
"FBXL3",7.2
"MYCBP2-AS1",0.8
"MYCBP2",29.7
"SLAIN1",0.4
"EDNRB-AS1",0.1
"OBI1",1.4
"RBM26",18.4
"RBM26-AS1",0.7
"NDFIP2",0.3
"SPRY2",4.7
"AL590807.1",1.2
"LINC00377",1.2
"SLITRK5",0
"MIR17HG",2.9
"GPC5",0.1
"AL162456.1",0.1
"GPC6",0.3
"TGDS",0.6
"GPR180",0.7
"ABCC4",1.2
"DNAJC3-DT",0.5
"DNAJC3",8.6
"AL138955.1",0.4
"MBNL2",18.3
"AL442067.3",0.3
"RAP2A",1.7
"AL442067.1",0.2
"IPO5",7.1
"FARP1",11.7
"AL445223.1",0.2
"STK24",12.5
"STK24-AS1",0.4
"SLC15A1",0
"DOCK9",1.6
"DOCK9-DT",0.4
"UBAC2-AS1",0.4
"UBAC2",7
"GPR18",4.8
"GPR183",21.7
"TM9SF2",9.4
"LINC00449",0.2
"CLYBL",1.2
"PCCA-DT",0.3
"PCCA",1.9
"GGACT",0.4
"AL356966.1",0.2
"TMTC4",1.2
"TPP2",14.5
"CCDC168",0.2
"TEX30",0.7
"BIVM",0.1
"ERCC5",7.7
"LINC01309",0.7
"LINC00343",0
"EFNB2",0.2
"ARGLU1",57.9
"LIG4",1.6
"ABHD13",4.1
"TNFSF13B",0.3
"IRS2",27
"COL4A2",1.2
"RAB20",3.4
"AL139385.1",0.1
"NAXD",1.9
"CARS2",13.1
"ING1",11.4
"ANKRD10",13.6
"ANKRD10-IT1",5.7
"AL442128.2",0.9
"ARHGEF7",10.5
"AL353704.1",0.3
"TUBGCP3",4.2
"ATP11A",3.8
"MCF2L",1.5
"PCID2",3.1
"CUL4A",6
"LAMP1",9.8
"GRTP1",0.2
"ADPRHL1",0.5
"DCUN1D2",1.3
"TMCO3",1.9
"AL442125.1",0.1
"TFDP1",4.7
"TMEM255B",0.5
"GAS6-AS1",2
"GAS6-DT",0.1
"C13orf46",0.1
"RASA3",5.8
"CDC16",3.6
"UPF3A",9.6
"CHAMP1",1.3
"POTEM",1.4
"LINC01297",0.8
"POTEG",0.3
"OR11G2",1.6
"TTC5",1.8
"AL356019.2",0.3
"CCNB1IP1",2.8
"AL355075.4",3
"PARP2",1.7
"TEP1",2.3
"KLHL33",0.2
"OSGEP",6.2
"APEX1",10.6
"PIP4P1",12.1
"PNP",3.2
"RNASE6",0.8
"METTL17",4
"NDRG2",0.3
"ARHGEF40",1
"ZNF219",1.9
"LINC00641",3.8
"HNRNPC",48.4
"SUPT16H",8.1
"CHD8",15
"RAB2B",5.3
"TOX4",11
"METTL3",1.5
"OR10G3",0.1
"AC243965.1",0.5
"DAD1",8.6
"ABHD4",0.4
"AL160314.2",0.1
"OXA1L",6.8
"SLC7A7",3.9
"MRPL52",8.3
"MMP14",0.1
"LRP10",7.7
"REM2",1.5
"RBM23",28.2
"PRMT5-AS1",0.2
"PRMT5",1.1
"HAUS4",1.1
"C14orf93",0.4
"PSMB5",1.6
"CDH24",0.3
"ACIN1",16.5
"C14orf119",0.3
"PPP1R3E",4.3
"BCL2L2",0.5
"PABPN1",15.4
"SLC22A17",0.5
"NGDN",12.1
"ZFHX2-AS1",0.9
"ZFHX2",0.1
"AP1G2",4.7
"AL135999.1",0.6
"DHRS4-AS1",0.9
"DHRS4",0.5
"DHRS4L2",1.2
"AL136419.3",0.7
"CARMIL3",0.4
"NRL",0.8
"PCK2",0.7
"DCAF11",5.4
"PSME1",20.8
"EMC9",0.8
"PSME2",9.3
"RNF31",1.2
"IRF9",20.8
"REC8",3.4
"IPO4",0.7
"AL136295.17",0.3
"TM9SF1",2.4
"AL136295.7",0.6
"CHMP4A",13
"MDP1",0.8
"NEDD8",10.4
"GMPR2",0.9
"TINF2",5
"RABGGTA",0.7
"AL096870.6",0.2
"DHRS1",0.8
"NOP9",1.7
"CIDEB",0.3
"LTB4R2",0.1
"LTB4R",0.8
"ADCY4",0.2
"RIPK3",0.3
"NFATC4",0.5
"CBLN3",0.3
"KHNYN",3.9
"SDR39U1",3
"NOVA1",1.3
"AL079343.1",0.1
"LINC01551",0.2
"LINC02327",0.7
"PRKD1",0.5
"G2E3-AS1",0.6
"G2E3",9.9
"SCFD1",14.7
"COCH",0.6
"STRN3",5.8
"AP4S1",2.3
"HECTD1",22.1
"HEATR5A",0.7
"AL139353.2",0.4
"DTD2",0.8
"NUBPL",3.2
"AL163973.2",0.1
"ARHGAP5-AS1",0.1
"ARHGAP5",17.3
"AL161665.1",0.8
"AKAP6",0.5
"NPAS3",2
"EGLN3",1.6
"SPTSSA",1.4
"EAPP",11.8
"SNX6",12.5
"CFL2",3.1
"BAZ1A",14
"AL121603.2",3.1
"SRP54",9.2
"FAM177A1",7.2
"PPP2R3C",10.4
"PRORP",2.2
"PSMA6",10.2
"NFKBIA",50.1
"RALGAPA1",13
"AL162311.3",0.1
"BRMS1L",1.3
"MBIP",4.4
"PAX9",0
"MIPOL1",0.3
"FOXA1",0.2
"LINC00639",0.1
"SEC23A",9.9
"SEC23A-AS1",0.1
"GEMIN2",0.6
"TRAPPC6B",2.6
"AL109628.2",1.2
"AL132639.3",0.1
"PNN",40.2
"MIA2",8.5
"AL132639.2",0.3
"FBXO33",12.7
"AL049828.1",1.6
"C14orf28",1.2
"KLHL28",4.2
"TOGARAM1",10.3
"PRPF39",4.9
"FKBP3",4.4
"FANCM",2.4
"MIS18BP1",25.3
"RPS29",71.4
"LRR1",0.7
"RPL36AL",36.2
"MGAT2",2.5
"DNAAF2",10.6
"AL139099.2",0.5
"POLE2",0.2
"KLHDC1",0.7
"KLHDC2",7
"NEMF",20.2
"AL627171.2",9.7
"AL627171.1",1.9
"ARF6",15.2
"LINC01588",2.3
"VCPKMT",6.7
"SOS2",9.2
"L2HGDH",0.6
"DMAC2L",5.9
"AL359397.2",0.4
"CDKL1",0.8
"MAP4K5",15
"ATL1",0.9
"SAV1",5.9
"AL606834.1",0.7
"NIN",18.2
"AL606834.2",1
"AL133485.3",0.1
"TMX1",3
"FRMD6",0.2
"FRMD6-AS1",0.3
"AL079307.1",0
"GNG2",23.3
"AL358333.2",0.2
"RTRAF",11.4
"TXNDC16",2.6
"GPR137C",0.3
"ERO1A",2
"PSMC6",16
"STYX",2.5
"GNPNAT1",0.7
"AL139317.5",0.2
"FERMT2",0.1
"DDHD1",18.7
"AL365295.1",0.5
"AL163953.1",0.1
"BMP4",0.6
"AL138479.2",0
"CNIH1",6
"GMFB",10.2
"CGRRF1",2.8
"SAMD4A",0.9
"GCH1",1.7
"WDHD1",0.7
"SOCS4",6.9
"MAPK1IP1L",24
"LGALS3",1.2
"DLGAP5",0.1
"AL158801.2",0.1
"FBXO34",6.9
"ATG14",9.2
"KTN1-AS1",0.3
"KTN1",43.1
"AL138995.1",0.1
"PELI2",4.6
"AL355073.2",0.2
"LINC02284",0.2
"TMEM260",1.7
"AL391152.1",0
"EXOC5",6
"AP5M1",3.7
"NAA30",3.8
"ARMH4",0.1
"ACTR10",4.2
"PSMA3",7.7
"PSMA3-AS1",32.1
"AL132989.2",0.5
"ARID4A",13.5
"TIMM9",2
"KIAA0586",5.3
"DACT1",0.4
"DAAM1",4.3
"GPR135",1.1
"L3HYPDH",1.2
"JKAMP",2.3
"PCNX4",6
"DHRS7",5.4
"AL157756.1",0.2
"PPM1A",12.8
"SIX4",0.1
"MNAT1",6.9
"TRMT5",0.7
"SLC38A6",3.5
"PRKCH",0.2
"AL355916.1",0.2
"HIF1A",41
"HIF1A-AS3",0.4
"SNAPC1",3.4
"AL390816.2",0.1
"PPP2R5E",10.2
"AL136038.3",0.8
"WDR89",0.9
"AL136038.5",1.1
"SGPP1",9.4
"SYNE2",18.5
"ESR2",13.4
"AL161756.1",0.2
"MTHFD1",3.8
"AL122035.2",0.5
"ZBTB25",10.7
"AKAP5",3.1
"ZBTB1",21.1
"HSPA2",0.1
"PLEKHG3",0
"CHURC1",9.1
"RAB15",0.2
"FNTB",0.5
"MAX",9.6
"AL139022.1",0.1
"LINC02324",0.2
"FUT8",13.2
"FUT8-AS1",0.5
"AL359232.1",0.2
"GPHN",1.4
"MPP5",2.3
"AL135978.2",0.5
"ATP6V1D",4.9
"EIF2S1",3
"PLEKHH1",0.2
"PIGH",4.6
"ARG2",0.4
"VTI1B",3.9
"RDH11",2.4
"ZFYVE26",1.8
"RAD51B",3
"AL121820.1",1.6
"AL132986.1",0.1
"ZFP36L1",48
"DCAF5",5.7
"EXD2",0.6
"GALNT16",0.1
"ERH",7.8
"SLC39A9",1.7
"PLEKHD1",0.5
"SUSD6",5.6
"AL133445.2",1.1
"SRSF5",46.4
"COX16",8.8
"SYNJ2BP",2.7
"MED6",8.6
"TTC9",0.7
"MAP3K9",2
"AC004816.1",0.1
"AC004825.2",0.5
"PCNX1",7.1
"AC005476.2",0.1
"SIPA1L1",15.6
"DPF3",0.2
"DCAF4",2.8
"ZFYVE1",1.1
"AL442663.3",0.4
"RBM25",46.2
"PSEN1",6.1
"PAPLN",0.1
"AC004846.1",0.4
"NUMB",5.9
"RIOX1",0.9
"AC005225.2",0
"ACOT2",0.8
"DNAL1",0.9
"PNMA1",2
"ELMSAN1",19.3
"AC005520.2",0.7
"PTGR2",0.4
"ZNF410",7.3
"AC005480.1",0.3
"AC005520.3",0.7
"FAM161B",0.5
"COQ6",2.5
"ENTPD5",0.6
"BBOF1",0.3
"ALDH6A1",0.7
"LIN52",0.9
"ABCD4",3.9
"NPC2",9.1
"ISCA2",2.3
"AREL1",3.8
"FCF1",3.5
"YLPM1",9.6
"DLST",5.4
"RPS6KL1",0.1
"PGF",0.1
"EIF2B2",3.4
"AL049780.1",0.5
"MLH3",2.6
"ACYP1",1.2
"NEK9",2.3
"AL049780.2",0.2
"TMED10",9.2
"AL691403.2",0.3
"AF111167.1",0.2
"FOS",68.8
"LINC01220",0.4
"AF111167.2",0.2
"JDP2",1.5
"BATF",0.3
"TTLL5",3.8
"ERG28",1.4
"IFT43",3
"TGFB3",0.3
"GPATCH2L",12.5
"ANGEL1",0.3
"AC007686.4",0.1
"IRF2BPL",6.1
"AC007686.3",0.8
"CIPC",1.4
"TMEM63C",0
"POMT2",1
"GSTZ1",1.5
"TMED8",5
"SAMD15",0.5
"NOXRED1",0
"VIPAS39",0.7
"AHSA1",2.6
"SPTLC2",4.5
"ALKBH1",1
"SLIRP",4.6
"SNW1",15.2
"ADCK1",0.4
"CEP128",2.6
"TSHR",1.8
"AC007262.2",0.2
"GTF2A1",4.8
"AL136040.1",0.5
"SEL1L",7.3
"LINC02301",0
"LINC02328",1.1
"GALC",1.3
"GPR65",2.1
"KCNK10",0.3
"SPATA7",0.5
"ZC3H14",3.9
"AL162171.3",0.4
"EML5",0.9
"AL121768.1",0
"TTC8",0.3
"FOXN3",26.3
"AL357093.2",0.7
"FOXN3-AS1",0.8
"EFCAB11",1.6
"TDP1",4.7
"PSMC1",8.5
"NRDE2",8.1
"AL512791.2",0.8
"CALM1",40
"TTC7B",0.3
"AL122020.2",0
"LINC02321",0
"RPS6KA5",9.6
"DGLUCY",2.9
"AL135818.3",0.1
"CCDC88C",15.1
"PPP4R3A",34.6
"TC2N",0.4
"TRIP11",4.4
"ATXN3",6.9
"NDUFB1",5.5
"CPSF2",1.9
"SLC24A4",0.1
"RIN3",3.5
"LGMN",1.6
"GOLGA5",1.3
"ITPK1",2.8
"ITPK1-AS1",0.9
"MOAP1",3.8
"TMEM251",0.9
"GON7",0.6
"UBR7",0.8
"BTBD7",3.9
"ASB2",0
"OTUB2",0
"DDX24",58.6
"IFI27L1",0.8
"IFI27",0.1
"IFI27L2",4.3
"PPP4R4",0.5
"SERPINA9",0
"DICER1",10.8
"DICER1-AS1",1
"CLMN",9.2
"LINC02292",0.1
"SYNE3",2.6
"SNHG10",2.5
"GLRX5",3.9
"AL133467.2",0.3
"TCL6",1.9
"TCL1B",0.2
"TCL1A",7.6
"AL139020.1",2.3
"TUNAR",2
"C14orf132",0.1
"BDKRB2",0.6
"AL355102.1",0.4
"ATG2B",4.6
"GSKIP",1.5
"PAPOLA",27.5
"VRK1",3.1
"LINC00618",0.1
"LINC01550",0.2
"BCL11B",0
"SETD3",2.1
"CCNK",17.8
"CCDC85C",3
"CYP46A1",1
"EVL",12
"DEGS2",1.7
"AL133523.1",0.3
"YY1",17.6
"AL157871.5",0.2
"SLC25A29",2.1
"WARS",4.1
"WDR25",0.5
"MEG3",0.3
"MEG8",1.2
"AL132709.7",0.2
"AL132709.8",1.2
"DIO3OS",0.4
"DIO3",0.5
"PPP2R5C",33.5
"AL137779.2",0.2
"AL137779.1",0.3
"AL118558.3",1.3
"DYNC1H1",27.6
"HSP90AA1",68.1
"WDR20",3
"MOK",0.4
"ZNF839",0.9
"CINP",1.8
"TECPR2",0.6
"ANKRD9",0.3
"LINC02323",0.1
"RCOR1",7.2
"TRAF3",8.7
"AMN",0.9
"CDC42BPB",2.2
"TNFAIP2",0.3
"AL138976.2",0.1
"EIF5",62.2
"MARK3",13.8
"CKB",2.6
"AL133367.1",0.2
"TRMT61A",1.5
"BAG5",9.6
"KLC1",10.4
"COA8",3.4
"AL049840.2",1.5
"AL049840.6",0.4
"AL049840.3",0.7
"AL049840.4",2.1
"AL049840.5",0.9
"XRCC3",0.6
"ZFYVE21",0.6
"PPP1R13B",1.7
"AL132712.2",0
"ATP5MPL",8.9
"KIF26A",0
"LINC02280",0.3
"INF2",7.7
"SIVA1",11.8
"AKT1",4.4
"LINC00638",0.1
"AL583810.1",0.1
"CEP170B",0.1
"PLD4",2.6
"CLBA1",0.2
"CDCA4",0.7
"GPR132",1.6
"LINC02298",0.1
"JAG2",0.2
"NUDT14",1.7
"BRF1",3.8
"BTBD6",2.3
"PACS2",3.4
"TEX22",0.3
"AL928654.1",0.3
"MTA1",5.8
"AL928654.2",0.1
"CRIP2",5.9
"CRIP1",33.1
"TEDC1",2.3
"TMEM121",0.3
"IGHA2",0.8
"IGHE",0.3
"IGHG4",1.7
"IGHG2",6.7
"COPDA1",0.2
"IGHA1",13.7
"IGHG1",5.7
"IGHG3",19.4
"IGHD",13.4
"IGHM",73.7
"IGHV4-34",1.6
"IGHV1-69D",0
"IGHV5-78",0.1
"AC138649.1",0.4
"NIPA1",2.1
"NIPA2",10.8
"CYFIP1",0.9
"TUBGCP5",6.3
"PWRN1",0.5
"SNRPN",11.8
"SNURF",1
"SNHG14",24.7
"UBE3A",16.6
"AC100774.1",0.1
"ATP10A",0
"OCA2",0.6
"HERC2",17.9
"GOLGA8M",0
"GOLGA8M.1",0
"GOLGA6L7",0.1
"NSMCE3",16.8
"LINC02249",0.1
"CHRFAM7A",0.3
"GOLGA8R",0.3
"AC127502.2",1.9
"GOLGA8Q",0.1
"AC091057.2",0.1
"AC091057.6",0.8
"ARHGAP11B",0
"FAN1",3.5
"MTMR10",4.2
"LINC02352",0.4
"KLF13",14.1
"CHRNA7",0.2
"LINC02256",4.5
"AC123768.4",0.2
"GOLGA8N",0.3
"ARHGAP11A",0.5
"FMN1",0.5
"AC010809.2",0.2
"AC010809.1",0.1
"AVEN",1.2
"EMC7",3.9
"PGBD4",1.5
"KATNBL1",5.5
"EMC4",7.8
"SLC12A6",4.4
"NOP10",6.5
"LPCAT4",1.5
"GOLGA8A",9.8
"GOLGA8B",13.7
"AQR",8.5
"ZNF770",8.6
"DPH6",2.6
"DPH6-DT",0.1
"AC021351.1",0
"C15orf41",0.8
"LINC01852",0.2
"AC087473.1",0.3
"SPRED1",0.3
"FAM98B",9.5
"RASGRP1",2.4
"AC116158.3",2.7
"AC116158.1",0.5
"AC022929.2",0.1
"FSIP1",0.2
"AC023908.3",0.5
"GPR176-DT",0.1
"EIF2AK4",3
"SRP14",38.2
"SRP14-AS1",0.7
"BMF",3.2
"BUB1B",0.3
"PAK6",0.3
"PLCB2",2.6
"AC020658.5",0.2
"INAFM2",0.3
"CCDC9B",0.1
"DISP2",0.4
"KNSTRN",0.3
"IVD",1.8
"BAHD1",1.3
"CHST14",0.5
"CCDC32",2.9
"RPUSD2",1.3
"KNL1",2.6
"RAD51-AS1",2.4
"RAD51",0.4
"RMDN3",2.7
"GCHFR",2.2
"DNAJC17",1.2
"C15orf62",0.3
"ZFYVE19",0.7
"SPINT1-AS1",0.5
"SPINT1",0.4
"RHOV",0
"VPS18",2.4
"INO80",10.5
"AC020661.4",0.2
"CHP1",2.1
"OIP5-AS1",8.1
"NUSAP1",1
"NDUFAF1",1.5
"RTF1",18.2
"ITPKA",0
"LTK",0.4
"RPAP1",1
"TYRO3",0.2
"MGA",7.3
"MAPKBP1",1.4
"JMJD7",0.6
"PLA2G4B",0.8
"SPTBN5",0
"AC020659.1",0.8
"EHD4",8.1
"AC039056.2",0.2
"VPS39",4.7
"TMEM87A",15.2
"GANC",5.3
"CAPN3",1.9
"ZNF106",7.1
"SNAP23",5.1
"AC018362.1",0.7
"LRRC57",4.2
"HAUS2",3.3
"STARD9",3.6
"CDAN1",0.6
"TTBK2",2.4
"AC090510.1",0.3
"UBR1",5.4
"TMEM62",4.7
"CCNDBP1",9.6
"LCMT2",0.3
"ADAL",1
"ZSCAN29",1.2
"TUBGCP4",2.9
"TP53BP1",16.2
"MAP1A",0.5
"PPIP5K1",1.2
"STRC",0.2
"CATSPER2",2.8
"AC011330.2",0.3
"PDIA3",15.3
"ELL3",0.6
"SERF2",41.7
"HYPK",3.9
"MFAP1",1.8
"WDR76",2
"FRMD5",0.2
"CASC4",6.2
"CTDSPL2",11
"EIF3J-DT",1.8
"EIF3J",16.2
"AC009996.1",1.5
"SPG11",7.6
"PATL2",4
"B2M",81.3
"TRIM69",1.4
"SORD",0.4
"DUOX1",1.1
"AC051619.6",0.3
"SHF",3.8
"AC051619.7",1.4
"AC051619.8",0.6
"SLC28A2",0.5
"GATM",1.6
"AC025580.3",0.7
"SPATA5L1",0.5
"C15orf48",0.1
"SLC30A4",0.8
"AC090527.3",0.3
"BLOC1S6",13
"SQOR",0.7
"SEMA6D",0
"AC084882.1",0
"SLC24A5",0.2
"MYEF2",7.2
"AC023355.1",0.6
"DUT",9.9
"FBN1",0.2
"CEP152",3
"EID1",12.5
"SECISBP2L",18.8
"COPS2",14.4
"GALK2",1.5
"FAM227B",0.8
"DTWD1",2.6
"GABPB1",7.3
"GABPB1-IT1",19.3
"GABPB1-AS1",26.7
"USP8",20.2
"TRPM7",16.4
"SPPL2A",11.3
"AP4E1",2.5
"DMXL2",0.3
"LYSMD2",1.2
"TMOD2",0.6
"TMOD3",10.2
"LEO1",1.3
"MAPK6",14.5
"MAPK6-DT",0.1
"AC023906.5",0.2
"GNB5",16.1
"AC023906.3",0.2
"CERNA1",2.7
"MYO5C",0.6
"MYO5A",11.5
"ARPP19",21.9
"FAM214A",27.2
"AC009754.1",2.6
"AC009754.2",0.1
"AC011912.1",1
"RSL24D1",18.7
"RAB27A",1
"AC018926.2",0.2
"PIGBOS1",1.9
"PIGB",3.9
"CCPG1",4.9
"C15orf65",0.2
"DNAAF4",0.2
"PYGO1",0.1
"NEDD4",0.2
"RFX7",5.1
"TEX9",0.8
"MNS1",0.8
"ZNF280D",8.2
"AC090517.2",0.7
"AC090517.5",0.6
"TCF12",8.2
"LINC00926",26.8
"GCOM1",0.2
"POLR2M",5.9
"AC090651.1",0.2
"ADAM10",9.4
"AC090515.2",0.1
"MINDY2",2.6
"RNF111",3.8
"SLTM",26.4
"AC092757.3",0.7
"AC092757.2",0.2
"MYO1E",22.1
"AC092756.1",1.2
"AC092868.2",3.5
"FAM81A",2
"GTF2A2",6.4
"BNIP2",17.9
"ANXA2",6
"ICE2",5.1
"RORA-AS1",1.2
"RORA",2
"VPS13C",35
"AC126323.2",0
"TLN2",0.9
"TPM1",1
"LACTB",1.9
